NomEntreprise;Annee;TotalActifFact;CapitauxPropres;TotalCAFact;TotalResultatNet;ROEMoyen;ROAMoyen;ROCEMoyen;TauxProfitabilite;RatioLiquiditeMoyen;TauxEndettementMoyen;VAR_ROA;Tendance_ROE;Couleur_Endettement;Couleur_Liquidite;Couleur_ROE
BanqueAtlantique;2021;820000000;145000000;245000000;42000000;0,290;0,051;0,178;0,171;0,95;0,82;0,002;Stable;#ef4444;#ef4444;#22c55e
BanqueAtlantique;2022;865000000;158000000;258000000;46000000;0,291;0,053;0,185;0,178;0,98;0,82;0,002;Stable;#ef4444;#ef4444;#22c55e
BanqueAtlantique;2023;910000000;172000000;272000000;51000000;0,297;0,056;0,192;0,188;1,02;0,81;0,003;Hausse;#ef4444;#ef4444;#22c55e
BanqueAtlantique;2024;955000000;188000000;288000000;56000000;0,298;0,059;0,198;0,194;1,05;0,80;0,003;Hausse;#ef4444;#ef4444;#22c55e
ÉcoÉnergie;2021;145000000;65000000;78000000;-2800000;-0,043;-0,019;0,012;-0,036;1,32;0,55;-0,025;Baisse;#f59e0b;#22c55e;#ef4444
ÉcoÉnergie;2022;162000000;71000000;92000000;1500000;0,021;0,009;0,045;0,016;1,38;0,56;0,028;Hausse;#f59e0b;#22c55e;#ef4444
ÉcoÉnergie;2023;185000000;82000000;115000000;6800000;0,083;0,037;0,082;0,059;1,45;0,55;0,028;Hausse;#f59e0b;#22c55e;#f59e0b
ÉcoÉnergie;2024;215000000;98000000;142000000;12500000;0,128;0,058;0,121;0,088;1,58;0,54;0,021;Hausse;#f59e0b;#22c55e;#22c55e
LogiSphere Transport;2021;88000000;32000000;115000000;5200000;0,163;0,059;0,108;0,045;1,05;0,64;0,005;Stable;#f59e0b;#f59e0b;#f59e0b
LogiSphere Transport;2022;92000000;34000000;122000000;5800000;0,171;0,063;0,115;0,048;1,08;0,63;0,004;Stable;#f59e0b;#f59e0b;#f59e0b
LogiSphere Transport;2023;95000000;36500000;128000000;6200000;0,170;0,065;0,118;0,048;1,12;0,62;0,002;Stable;#f59e0b;#f59e0b;#f59e0b
LogiSphere Transport;2024;98000000;38500000;135000000;6900000;0,179;0,070;0,125;0,051;1,15;0,61;0,005;Hausse;#f59e0b;#f59e0b;#f59e0b
MédiPharma;2021;275000000;165000000;195000000;38000000;0,230;0,138;0,202;0,195;2,45;0,28;0,008;Hausse;#22c55e;#22c55e;#22c55e
MédiPharma;2022;298000000;182000000;218000000;43000000;0,236;0,144;0,212;0,197;2,52;0,27;0,006;Stable;#22c55e;#22c55e;#22c55e
MédiPharma;2023;325000000;202000000;245000000;49500000;0,245;0,152;0,225;0,202;2,61;0,26;0,008;Hausse;#22c55e;#22c55e;#22c55e
MédiPharma;2024;352000000;225000000;272000000;56500000;0,251;0,160;0,238;0,208;2,72;0,24;0,008;Hausse;#22c55e;#22c55e;#22c55e
AgroGen;2021;62000000;25000000;82000000;-1800000;-0,072;-0,029;0,008;-0,022;0,88;0,67;-0,018;Baisse;#ef4444;#ef4444;#ef4444
AgroGen;2022;65000000;24500000;85000000;-1200000;-0,049;-0,018;0,012;-0,014;0,92;0,68;0,011;Stable;#ef4444;#ef4444;#ef4444
AgroGen;2023;68000000;25500000;89000000;800000;0,031;0,012;0,028;0,009;0,98;0,66;0,030;Hausse;#ef4444;#ef4444;#f59e0b
AgroGen;2024;72000000;27000000;94000000;2500000;0,093;0,035;0,055;0,027;1,05;0,64;0,023;Hausse;#f59e0b;#f59e0b;#f59e0b
ConstructPlus;2021;142000000;58000000;185000000;9800000;0,169;0,069;0,118;0,053;1,15;0,59;0,004;Stable;#f59e0b;#f59e0b;#f59e0b
ConstructPlus;2022;152000000;62000000;198000000;11200000;0,181;0,074;0,128;0,057;1,18;0,58;0,005;Hausse;#f59e0b;#f59e0b;#f59e0b
ConstructPlus;2023;145000000;58500000;188000000;8500000;0,145;0,059;0,098;0,045;1,12;0,60;-0,015;Baisse;#f59e0b;#f59e0b;#f59e0b
ConstructPlus;2024;138000000;55000000;178000000;6200000;0,113;0,045;0,082;0,035;1,08;0,61;-0,014;Baisse;#f59e0b;#f59e0b;#ef4444
TextileVert;2021;38000000;14000000;52000000;1850000;0,132;0,049;0,085;0,036;1,02;0,63;-0,012;Baisse;#f59e0b;#f59e0b;#f59e0b
TextileVert;2022;41000000;15500000;55000000;2200000;0,142;0,054;0,092;0,040;1,08;0,62;0,005;Stable;#f59e0b;#f59e0b;#f59e0b
TextileVert;2023;43500000;17000000;58000000;2650000;0,156;0,061;0,102;0,046;1,12;0,61;0,007;Hausse;#f59e0b;#f59e0b;#f59e0b
TextileVert;2024;46000000;18500000;61500000;3100000;0,168;0,067;0,112;0,050;1,18;0,60;0,006;Hausse;#f59e0b;#f59e0b;#f59e0b
